"Category Name","Average Stars","Total Products"
"Inflatable Beds, Pillows & Accessories","1.71","240"
"Streaming Clients","1.69","322"
"Internal Optical Drives","1.67","225"
"Ballet & Dancing Footwear","1.64","2978"
"Thermometers & Meteorological Instruments","1.63","431"
"Motorbike Chassis","1.58","105"
"Packaging & Shipping Supplies","1.58","248"
"Piano & Keyboard","1.56","9270"
"Binoculars, Telescopes & Optics","1.56","8847"
"Computer Audio & Video Accessories","1.54","9106"
"Desktop PCs","1.50","7330"
"Motorbike Boots & Luggage","1.47","245"
"Handmade Home Décor","1.45","9438"
"Motorbike Seat Covers","1.43","247"
"Hockey Shoes","1.42","240"
"Surveillance Cameras","1.40","9172"
"Curtain & Blind Accessories","1.39","687"
"Bass Guitars & Gear","1.39","508"
"Digital Frames","1.38","763"
"Decking & Fencing","1.38","247"
"Laptops","1.34","7144"
"Smartwatches","1.33","6409"
"Computers, Components & Accessories","1.33","231"
"Handmade Jewellery","1.32","12254"
"Monitors","1.30","8287"
"Gifts for Him","1.28","157"
"Tennis Shoes","1.23","4611"
"Birthday Gifts","1.22","7295"
"Equestrian Sports Boots","1.17","393"
"Radios & Boomboxes","1.13","7025"
"Snowboard Bindings","1.09","703"
"SIM Cards","1.08","1709"
"Snowboard Boots","1.06","953"
"Barebone PCs","1.04","9402"
"Uninterruptible Power Supply Units & Accessories","0.99","3584"
"Action Cameras","0.96","991"
"Computer Printers","0.94","7938"
"Tablets","0.94","7613"
"Monitor Accessories","0.93","4220"
"Snowboards","0.93","628"
"Handmade Clothing, Shoes & Accessories","0.91","16403"
"Downhill Skis","0.90","250"
"I/O Port Cards","0.90","254"
"Material Handling Products","0.88","159"
"Karaoke Equipment","0.85","2439"
"Motorbike Lighting","0.84","5148"
"Handmade Artwork","0.83","15120"
"Radio Communication","0.82","4981"
"Handmade","0.81","8023"
"Garden Storage & Housing","0.80","7984"
"Mowers & Outdoor Power Tools","0.79","1671"
"Test & Measurement","0.78","246"
"KVM Switches","0.76","6808"
"Sports & Outdoors","0.74","812037"
"Hi-Fi Receivers & Separates","0.73","9023"
"Home Audio Record Players","0.72","6229"
"Computer Screws","0.70","6155"
"Table Tennis","0.64","6422"
"Downhill Ski Boots","0.64","1267"
"Outdoor Rope Lights","0.62","3902"
"USB Gadgets","0.60","336"
"Made in Italy Handmade","0.60","2139"
"Toy Advent Calendars","0.59","9212"
"Hydraulics, Pneumatics & Plumbing","0.56","237"
"Handmade Baby Products","0.56","4572"
"Motorbike Exhaust & Exhaust Systems","0.54","252"
"Boating Footwear","0.49","136"
"External Optical Drives","0.46","5771"
"Handmade Kitchen & Dining","0.45","14202"
"Flashes","0.42","9269"
"Projectors","0.41","8530"
"Network Cards","0.37","5564"
"Climbing Footwear","0.37","2161"
"Cycling Shoes","0.35","9216"
"Motorbike Drive & Gears","0.32","243"
"Photo Printers","0.30","69"
"Motorbike Batteries","0.30","5221"
"Scanners & Accessories","0.28","9367"
"Snow Sledding Equipment","0.28","7009"
"External Sound Cards","0.27","5555"
"Lab & Scientific Products","0.27","414"
"Bedding Collections","0.27","6218"
"External TV Tuners & Video Capture Cards","0.26","2678"
"Construction Machinery","0.21","8773"
"Motorbike Instruments","0.16","4093"
"Media Streaming Devices","0.16","8815"
"Boxing Shoes","0.16","4026"
"Motorbike Handlebars, Controls & Grips","0.12","7992"
"Motorbike Electrical & Batteries","0.10","8576"
"3D Printing & Scanning","0.10","3941"
"Synthesisers, Samplers & Digital Instruments","0.09","7254"
"CD, Disc & Tape Players","0.08","8605"
