"ASIN","Title","Category Name","Price","Stars","Reviews","Final Score"
"B01BRGUC9Y","Amazon Basics Multipurpose, Comfort Grip, PVD Coated, Stainless Steel Office Scissor - Pack Of 1","Office Supplies","5.0","4.7",61765,"961.09"
"B008J140QW","Clover 1045/G Amour Crochet Hook: 4.0mm, Metal, Multicoloured, 4mm","Arts & Crafts","6.69","4.8",12956,"960.90"
"B06WVD81JX","Duracell Specialty LR44 Alkaline Button Battery 1,5V, pack of 8 (76A / A76 / V13GA) designed for use in toys, calculators and measurement devices [Amazon exclusive]","Grocery","5.16","4.7",197149,"960.59"
"B00EI6FFXO","Duracell Hearing Aid Batteries Size 675, Pack of 6","Household Batteries, Chargers & Accessories","5.2","4.7",197217,"960.38"
"1509804765","The Gruffalo's Child (The Gruffalo, 2)","Boys","7.35","4.9",11216,"960.34"
"0007455933","The Lorax: The classic story that shows you how to save the planet! (Dr. Seuss)","School & Educational Supplies","7.35","4.9",11142,"960.31"
"B07H2GM46Y","AUVON Pill Box Organiser, Travel Pill Boxes 7 Day 2 Times A Day with 7 Colorful Attachable Tablet Organiser for Medicine, Medication, Vitamin, Supplement and Fish Oil","Health & Personal Care","6.99","4.8",17816,"960.26"
"B01M6UUOY2","Garnier SkinActive Micellar Cleansing Water, 700ml","Skin Care","5.0","4.7",29225,"960.13"
"B00005UO5L","The Italian Job [DVD] [1969]","Home Cinema, TV & Video","5.0","4.8",3885,"960.10"
"B01BF6F20K","CRAYOLA SuperTips Washable Markers - Assorted Colours (Pack of 24) | Premium Felt Tip Pens That Can Easily Wash Off Skin & Clothing | Ideal for Kids Aged 3+","Kids' Art & Craft Supplies","5.0","4.7",27813,"960.03"
"B07TB5QBPK","SATA Cable III, Benfei SATA Cable III 6Gbps Straight HDD SDD Data Cable with Locking Latch 18 Inch Compatible for SATA HDD, SSD, CD Driver, CD Writer - Black","Cables & Accessories","5.0","4.7",22745,"959.45"
